A	a
SUPERPOPULAÇÃO	s u p e X p o p u l a s a~ w~
SUPERPOVOADO	s u p e X p o v o a d u
SUPERPOVOAMENTO	s u p e X p o v o a m e~ t u
SUPERPRODUÇÃO	s u p e X p r o d u s a~ w~
SUPERPROTÃO	s u p e X p r o t a~ w~
SUPERSENSÍVEL	s u p e X s e~ s i v e w
SUPERSTICIOSIDADE	s u p e X s tS i s i o z i d a dZ i
SUPERSTICIOSO	s u p e X s tS i s i o z u
SUPERSTIÇÃO	s u p e X s tS i s a~ w~
SUPERSTRUTURA	s u p e X s t r u t u r a
SUPERSÔNICO	s u p e X s o n i k u
SUPERTAÇA	s u p e X t a s a
SUPERVENIENTE	s u p e R v e n i e~ tS i
SUPERVISIONAR	s u p e R v i z i o n a X
SUPERVISOR	s u p e R v i z o X
SUPERVISÃO	s u p e R v i z a~ w~
SUPERVIVENTE	s u p e R v i v e~ tS i
SUPERVIVÊNCIA	s u p e R v i v e~ s i a
SUPERÁCIDO	s u p e r a s i d u
SUPLANTAR	s u p l a~ t a X
SUPLEMENTAR	s u p l e m e~ t a X
SUPLEMENTO	s u p l e m e~ t u
SUPLEMENTÁRIO	s u p l e m e~ t a r i u
SUPLENTE	s u p l e~ tS i
SUPLICANTE	s u p l i k a~ tS i
SUPLICAR	s u p l i k a X
SUPLICATÓRIO	s u p l i k a t O r i u
SUPLICIAR	s u p l i s i a X
SUPLÍCIO	s u p l i s i u
SUPOR	s u p o X
SUPORTAR	s u p o X t a X
SUPORTE	s u p O X tS i
SUPOSITIVO	s u p o z i tS i v u
SUPOSITÓRIO	s u p o z i t O r i u
SUPOSIÇÃO	s u p o z i s a~ w~
SUPOSTO	s u p o s t u
SUPRACITADO	s u p r a s i t a d u
SUPRAESTRUTURA	s u p r a j s t r u t u r a
SUPRALUNAR	s u p r a l u~ n a X
SUPRAMARGINAL	s u p r a m a R Z i~ n a w
SUPRAMENCIONADO	s u p r a m e~ s i o n a d u
SUPRANACIONAL	s u p r a n a s i o n a w
SUPRANATURAL	s u p r a n a t u r a w
SUPRANATURALISMO	s u p r a n a t u r a l i z m u
SUPRANORMAL	s u p r a n o R m a w
SUPRANUMERÁRIO	s u p r a n u~ m e r a r i u
SUPRARRENAL	s u p r a R e n a w
SUPRASSUMO	s u p r a s u~ m u
SUPREMACIA	s u p r e m a s i a
SUPREMO	s u p r e~ m u
SUPRESSIVO	s u p r e s i v u
SUPRESSOR	s u p r e s o X
SUPRESSÃO	s u p r e s a~ w~
SUPRESSÓRIO	s u p r e s O r i u
SUPRIMIR	s u p r i~ m i X
SUPRIR	s u p r i X
SUPÉRFLUO	s u p E X f l u u
SURDEZ	s u R d e js
SURDINA	s u R dZ i~ n a
SURDIR	s u R dZ i X
SURDO	s u R d u
SURFE	s u X f i
SURGIR	s u R Z i X
SURICATA	s u r i k a t a
SURPREENDENTE	s u X p r e e~ d e~ tS i
SURPREENDER	s u X p r e e~ d e X
SURPRESA	s u X p r e z a
SURPRESO	s u X p r e z u
SURRA	s u R a
SURRADOR	s u R a d o X
SURRAR	s u R a X
SURREAL	s u R e a w
SURRENTO	s u R e~ t u
SURRIPIANÇO	s u R i p i a~ s u
SURRIPIAR	s u R i p i a X
SURRO	s u R u
SURTIDA	s u X tS i d a
SURTIR	s u X tS i X
SURTO	s u X t u
SUSCETIBILIDADE	s u s e tS i b i l i d a dZ i
SUSCETIBILIZAR	s u s e tS i b i l i z a X
SUSCETÍVEL	s u s e tS i v e w
SUSCITADOR	s u s i t a d o X
SUSCITAR	s u s i t a X
SUSERANIA	s u z e r a n i a
SUSERANO	s u z e r a~ n u
SUSPEITA	s u s p ej t a
SUSPEITAR	s u s p e j t a X
SUSPEITO	s u s p ej t u
SUSPEITOSO	s u s p e j t o z u
SUSPEIÇÃO	s u s p e j s a~ w~
SUSPENDER	s u s p e~ d e X
SUSPENSE	s u s p e~ s i
SUSPENSIVO	s u s p e~ s i v u
SUSPENSO	s u s p e~ s u
SUSPENSOR	s u s p e~ s o X
SUSPENSÃO	s u s p e~ s a~ w~
SUSPENSÓRIO	s u s p e~ s O r i u
SUSPIRANTE	s u s p i r a~ tS i
SUSPIRAR	s u s p i r a X
SUSPIRO	s u s p i r u
SUSPIROSO	s u s p i r o z u
SUSSURRANTE	s u s u R a~ tS i
SUSSURRAR	s u s u R a X
SUSSURRO	s u s u R u
SUSTAR	s u s t a X
SUSTENIDO	s u s t e n i d u
SUSTENIZAR	s u s t e n i z a X
SUSTENTABILIDADE	s u s t e~ t a b i l i d a dZ i
SUSTENTADOR	s u s t e~ t a d o X
SUSTENTANTE	s u s t e~ t a~ tS i
SUSTENTAR	s u s t e~ t a X
SUSTENTO	s u s t e~ t u
SUSTENTÁCULO	s u s t e~ t a k u l u
SUSTENTÁVEL	s u s t e~ t a v e w
SUSTER	s u s t e X
SUSTO	s u s t u
SUTIÃ	s u tS i a~
SUTURA	s u t u r a
SUTURAL	s u t u r a w
SUTURAR	s u t u r a X
SUÁSTICA	s u a s tS i k a
SUÁSTICO	s u a s tS i k u
SUÃO	s u a~ w~
SUÍNO	s u i n u
SUÍÇAS	s u i s a js
SUÍÇO	s u i s u
SÁBADO	s a b a d u
SÁBIO	s a b i u
SÁDICO	s a dZ i k u
SÁTIRA	s a tS i r a
SÁURIO	s a u r i u
SÁURIOS	s a u r i u s
SÁVEL	s a v e w
SÂNSCRITO	s a~ s k r i t u
SÃO	s a~ w~
SÉ	s E
SÉCULO	s E k u l u
SÉMEN	s E m e~
SÉNIOR	s E n i o X
SÉPALA	s E p a l a
SÉPTICO	s E p tS i k u
SÉPTUPLO	s E p t u p l u
SÉQUITO	s E k i t u
SÉRICO	s E r i k u
SÉRIE	s E r i
SÉRIO	s E r i u
SÉRVIO	s E R v i u
SÉSSIL	s E s i w
SÉTICO	s E tS i k u
SÉTIMO	s E tS i~ m u
SÉTUPLO	s E t u p l u
SÊMEA	s e m e a
SÊMOLA	s e m o l a
SÊXTUPLO	s e s t u p l u
SÍFILIS	s i f i l i s
SÍLABA	s i l a b a
SÍLEX	s i l e k s
SÍLICA	s i l i k a
SÍMBOLO	s i~ b o l u
SÍMILE	s i m i l i
SÍMIO	s i m i u
SÍNCOPE	s i~ k o p i
SÍNCRONO	s i~ k r o n u
SÍNDROMA	s i~ d r o m a
SÍNDROME	s i~ d r o m i
SÍNFISE	s i~ f i z i
SÍNODO	s i n o d u
SÍNTESE	s i~ t e z i
SÍRIO	s i r i u
SÍSMICO	s i z m i k u
SÍSTOLE	s i s t o l i
SÍTIO	s i tS i u
SÓ	s O
SÓBRIO	s O b r i u
SÓCIO	s O s i u
SÓDICO	s O dZ i k u
SÓDIO	s O dZ i u
SÓLIDO	s O l i d u
SÓRDIDO	s O R dZ i d u
SÓROR	s O r o X
SÓSIA	s O s i a
SÓTÃO	s O t a~ w~
SÔFREGO	s o f r e g u
SÔNICO	s o n i k u
SÚBDITO	s u b dZ i t u
SÚBITO	s u b i t u
SÚMULA	s u m u l a
SÚPERO	s u p e r u
SÚPLICA	s u p l i k a
TABACAL	t a b a k a w
TABACARIA	t a b a k a r i a
TABACO	t a b a k u
TABAGISMO	t a b a Z i z m u
TABAQUEAR	t a b a k e a X
TABAQUEIRA	t a b a k ej r a
TABAQUEIRO	t a b a k ej r u
TABAQUISTA	t a b a k i s t a
TABEFE	t a b E f i
TABELA	t a b E l a
TABELAR	t a b e l a X
TABELIÃO	t a b e l i a~ w~
TABERNA	t a b E R n a
TABERNAL	t a b e R n a w
TABERNEIRO	t a b e R n ej r u
TABERNÁCULO	t a b e R n a k u l u
TABIQUE	t a b i k i
TABLOIDE	t a b l O j dZ i
TABU	t a b u
TABUADA	t a b u a d a
TABUADO	t a b u a d u
TABUINHA	t a b u i~ J a
TABULADO	t a b u l a d u
TABULADOR	t a b u l a d o X
TABULADORA	t a b u l a d o r a
TABULAR	t a b u l a X
TABULAÇÃO	t a b u l a s a~ w~
TABULEIRO	t a b u l ej r u
TABULETA	t a b u l e t a
TACADA	t a k a d a
TACANHARIA	t a k a J a r i a
TACANHEAR	t a k a J e a X
TACANHEZ	t a k a J e js
TACANHEZA	t a k a J e z a
TACANHO	t a k a~ J u
TACHA	t a S a
TACHADA	t a S a d a
TACHAR	t a S a X
TACHINHA	t a S i~ J a
TACHO	t a S u
TACHÃO	t a S a~ w~
TACITAMENTE	t a s i t a m e~ tS i
TACITURNIDADE	t a s i t u R n i d a dZ i
TACITURNO	t a s i t u R n u
TACO	t a k u
TACTILIDADE	t a k tS i l i d a dZ i
TACÃO	t a k a~ w~
TACÍCULA	t a s i k u l a
TACÔMETRO	t a k o m e t r u
TAFETÁ	t a f e t a
TAGALO	t a g a l u
TAGARELA	t a g a r E l a
TAGARELAR	t a g a r e l a X
TAGARELICE	t a g a r e l i s i
TAILANDÊS	t a j l a~ d e js
TAINHA	t a i~ J a
TAIPA	t a j p a
TAIPAL	t a j p a w
TAJIQUE	t a Z i k i
TAL	t a w
TALA	t a l a
TALAR	t a l a X
TALCO	t a w k u
TALCOSO	t a w k o z u
TALENTO	t a l e~ t u
TALENTOSO	t a l e~ t o z u
TALHA	t a L a
TALHADA	t a L a d a
TALHADEIRA	t a L a d ej r a
TALHADOIRO	t a L a d o j r u
TALHADOURO	t a L a d ow r u
TALHADURA	t a L a d u r a
TALHANTE	t a L a~ tS i
TALHAR	t a L a X
TALHARIA	t a L a r i a
TALHE	t a L i
TALHER	t a L e X
TALHO	t a L u
TALHÃO	t a L a~ w~
TALISMÂNICO	t a l i z m a~ n i k u
TALISMÃ	t a l i z m a~
TALMÚDICO	t a w m u dZ i k u
TALO	t a l u
TALUDA	t a l u d a
TALUDAR	t a l u d a X
TALUDE	t a l u dZ i
TALUDO	t a l u d u
TALVEZ	t a w v e js
TALÃO	t a l a~ w~
TAMANCA	t a m a~ k a
TAMANCADA	t a m a~ k a d a
TAMANCARIA	t a m a~ k a r i a
TAMANCO	t a m a~ k u
TAMANHO	t a m a~ J u
TAMANHÃO	t a m a J a~ w~
TAMANQUEIRO	t a m a~ k ej r u
TAMANQUINHA	t a m a~ k i~ J a
TAMARAL	t a m a r a w
TAMAREIRA	t a m a r ej r a
TAMBOR	t a~ b o X
TAMBORIL	t a~ b o r i w
TAMBORILADA	t a~ b o r i l a d a
TAMBORILAR	t a~ b o r i l a X
TAMBORILEIRO	t a~ b o r i l ej r u
TAMBORIM	t a~ b o r i~
TAMBÉM	t a~ b e~j~
TAMPA	t a~ p a
TAMPAR	t a~ p a X
TAMPEIRA	t a~ p ej r a
TAMPO	t a~ p u
TAMPOUCO	t a~ p ow k u
TAMPÃO	t a~ p a~ w~
TANAS	t a~ n a js
TANGA	t a~ g a
TANGAR	t a~ g a X
TANGENCIAL	t a~ Z e~ s i a w
TANGENCIAR	t a~ Z e~ s i a X
TANGENTE	t a~ Z e~ tS i
TANGER	t a~ Z e X
TANGERINA	t a~ Z e r i~ n a
TANGERINEIRA	t a~ Z e r i~ n ej r a
TANGIBILIDADE	t a~ Z i b i l i d a dZ i
TANGO	t a~ g u
TANGUEIRO	t a~ g ej r u
TANGUISTA	t a~ g i s t a
TANGÊNCIA	t a~ Z e~ s i a
TANOEIRO	t a n o ej r u
TANQUE	t a~ k i
TANSO	t a~ s u
TANTO	t a~ t u
TANTÍSSIMO	t a~ tS i s i~ m u
TANZANIANO	t a~ z a n i a~ n u
TAOÍSTA	t a o i s t a
TAPA	t a p a
TAPADOR	t a p a d o X
TAPADURA	t a p a d u r a
TAPAGEM	t a p a Z e~j~
TAPAR	t a p a X
TAPEAR	t a p e a X
TAPECEIRO	t a p e s ej r u
TAPETE	t a p e tS i
TAPETEIRO	t a p e t ej r u
TAPEÇARIA	t a p e s a r i a
TAPIOCA	t a p i O k a
TAPUIA	t a p u i a
TAPUME	t a p u~ m i
TAQUICARDIA	t a k i k a R dZ i a
TAQUÍGRAFO	t a k i g r a f u
TAQUÍMETRO	t a k i m e t r u
TARA	t a r a
TARAR	t a r a X
TARDAR	t a R d a X
TARDE	t a R dZ i
TARDES	t a R dZ i s
TARDEZA	t a R d e z a
TARDIO	t a R dZ i u
TARDOZ	t a R d O js
TARECADA	t a r e k a d a
TARECO	t a r E k u
TAREFA	t a r E f a
TAREFAR	t a r e f a X
TAREFEIRO	t a r e f ej r u
TAREIA	t a r ej a
TARIFA	t a r i f a
TARIFAR	t a r i f a X
TARIFÁRIO	t a r i f a r i u
TARJA	t a R Z a
TARJAR	t a R Z a X
TARJETA	t a R Z e t a
TARRAXA	t a R a S a
TARRAXAR	t a R a S a X
TARRAXO	t a R a S u
TARSO	t a X s u
TARTAMUDO	t a X t a m u d u
TARTAROSO	t a X t a r o z u
TARTARUGA	t a X t a r u g a
TARTE	t a X tS i
TARÂNTULA	t a r a~ t u l a
TASCA	t a s k a
TASCANTE	t a s k a~ tS i
TASCO	t a s k u
TASMÂNIO	t a z m a~ n i u
TASQUEIRO	t a s k ej r u
TASQUINHA	t a s k i~ J a
TATEABILIDADE	t a t e a b i l i d a dZ i
TATEANTE	t a t e a~ tS i
TATEAR	t a t e a X
TATEIO	t a t ej u
TATILIDADE	t a tS i l i d a dZ i
TATO	t a t u
TATU	t a t u
TATUADOR	t a t u a d o X
TATUAGEM	t a t u a Z e~j~
TATUAR	t a t u a X
TAU	t a u
TAUISMO	t a u i z m u
TAUISTA	t a u i s t a
TAURINO	t a u r i~ n u
TAUROMAQUIA	t a u r o m a k i a
TAUROMÁQUICO	t a u r o m a k i k u
TAURÍFERO	t a u r i f e r u
TAUTOLOGIA	t a u t o l o Z i a
TAVERNA	t a v E R n a
TAVERNEIRO	t a v e R n ej r u
TAXA	t a S a
TAXAR	t a S a X
TAXATIVO	t a S a tS i v u
TAXILOGIA	t a k s i l o Z i a
TAXINOMIA	t a k s i~ n o m i a
TAXIOLOGIA	t a k s i o l o Z i a
TAXIONOMIA	t a k s i o n o m i a
TAXISTA	t a k s i s t a
TAXONOMIA	t a k s o n o m i a
TAXÍMETRO	t a k s i m e t r u
TAÇA	t a s a
TAÇADA	t a s a d a
TE	tS i
TEAR	t e a X
TEATRADA	t e a t r a d a
TEATRAL	t e a t r a w
TEATRALIDADE	t e a t r a l i d a dZ i
TEATRALISMO	t e a t r a l i z m u
TEATRALIZAR	t e a t r a l i z a X
TEATRO	t e a t r u
TEBANO	t e b a~ n u
TECA	t E k a
TECEDEIRA	t e s e d ej r a
TECEDOR	t e s e d o X
TECEDURA	t e s e d u r a
TECELAGEM	t e s e l a Z e~j~
TECELÃO	t e s e l a~ w~
TECER	t e s e X
TECIDO	t e s i d u
TECLA	t E k l a
TECLADO	t e k l a d u
TECLAR	t e k l a X
TECNICAMENTE	t E k n i k a m e~ tS i
TECNICIDADE	t e k n i s i d a dZ i
TECNICISMO	t e k n i s i z m u
TECNICOLOR	t e k n i k o l o X
TECNISMO	t e k n i z m u
TECNOCRACIA	t e k n o k r a s i a
TECNOFOBIA	t e k n o f o b i a
TECNOLOGIA	t e k n o l o Z i a
TECNOLÓGICO	t e k n o l O Z i k u
TECTÔNICA	t e k t o n i k a
TECTÔNICO	t e k t o n i k u
TEDIOSO	t e dZ i o z u
TEIA	t ej a
TEIMA	t ej m a
TEIMAR	t e i~ m a X
TEIMAS	t ej m a js
TEIMICE	t e i~ m i s i
TEIMOSIA	t e i~ m o z i a
TEIMOSICE	t e i~ m o z i s i
TEIMOSO	t e i~ m o z u
TEIXO	t ej S u
TEJADILHO	t e Z a dZ i L u
TELA	t E l a
TELE	t E l i
TELECOMANDAR	t e l e k o m a~ d a X
TELECOMANDO	t e l e k o m a~ d u
TELECOMUNICAÇÃO	t e l e k o m u~ n i k a s a~ w~
TELECOMUNICAÇÕES	t e l e k o m u~ n i k a s o~ j~ s
TELEDINÂMICA	t e l e dZ i~ n a~ m i k a
TELEDINÂMICO	t e l e dZ i~ n a~ m i k u
TELEDIRIGIR	t e l e dZ i r i Z i X
TELEFONADELA	t e l e f o n a d E l a
TELEFONAR	t e l e f o n a X
TELEFONE	t e l e f o~ n i
TELEFONEMA	t e l e f o n e~ m a
TELEFONIA	t e l e f o n i a
TELEFONISTA	t e l e f o n i s t a
TELEFOTO	t e l e f O t u
TELEFOTOGRAFIA	t e l e f o t o g r a f i a
TELEFOTOMETRIA	t e l e f o t o m e t r i a
TELEFÉRICO	t e l e f E r i k u
TELEFÔNICO	t e l e f o n i k u
TELEGRAFAR	t e l e g r a f a X
TELEGRAFIA	t e l e g r a f i a
TELEGRAFISTA	t e l e g r a f i s t a
TELEGRAMA	t e l e g r a~ m a
TELEGRÁFICO	t e l e g r a f i k u
TELEGUIAR	t e l e g i a X
TELEIMPRESSOR	t e l e i~ p r e s o X
TELEJORNAL	t e l e Z o R n a w
TELEMECÂNICA	t e l e m e k a~ n i k a
TELEMETRIA	t e l e m e t r i a
TELEMÁTICA	t e l e m a tS i k a
TELEMÓVEL	t e l e m O v e w
TELENOVELA	t e l e n o v E l a
TELEOBJETIVA	t e l e o b Z e tS i v a
TELEOLOGIA	t e l e o l o Z i a
TELEPATIA	t e l e p a tS i a
TELEPROJÉTIL	t e l e p r o Z E tS i w
TELEPÁTICO	t e l e p a tS i k u
TELEQUINESIA	t e l e k i~ n e z i a
TELERRECETOR	t e l e R e s e t o X
TELESCOLA	t e l e s k O l a
TELESCOPIA	t e l e s k o p i a
TELESCÓPICO	t e l e s k O p i k u
TELESCÓPIO	t e l e s k O p i u
TELESPECTADOR	t e l e s p e k t a d o X
TELESPETADOR	t e l e s p e t a d o X
TELETEXTO	t e l e t e s t u
TELEVISIVO	t e l e v i z i v u
TELEVISOR	t e l e v i z o X
TELEVISÃO	t e l e v i z a~ w~
TELHA	t e L a
TELHADO	t e L a d u
TELHAR	t e L a X
TELHEIRA	t e L ej r a
TELHEIRO	t e L ej r u
TELHUDO	t e L u d u
TELHÃO	t e L a~ w~
TELINTAR	t e l i~ t a X
TELURETO	t e l u r e t u
TELURIANO	t e l u r i a~ n u
TELURISMO	t e l u r i z m u
TELÃO	t e l a~ w~
TELÉGRAFO	t e l E g r a f u
TELÉMETRO	t e l E m e t r u
TELÚRICO	t e l u r i k u
TEMA	t e~ m a
TEMEDOIRO	t e m e d o j r u
TEMEDOURO	t e m e d ow r u
TEMER	t e m e X
TEMERIDADE	t e m e r i d a dZ i
TEMEROSO	t e m e r o z u
TEMERÁRIO	t e m e r a r i u
TEMIBILIDADE	t e m i b i l i d a dZ i
TEMOR	t e m o X
TEMOROSO	t e m o r o z u
TEMPERAMENTAL	t e~ p e r a m e~ t a w
TEMPERANTE	t e~ p e r a~ tS i
TEMPERANÇA	t e~ p e r a~ s a
TEMPERAR	t e~ p e r a X
TEMPERATURA	t e~ p e r a t u r a
TEMPERATURAL	t e~ p e r a t u r a w
TEMPERO	t e~ p e r u
TEMPESTADE	t e~ p e s t a dZ i
TEMPESTEAR	t e~ p e s t e a X
TEMPESTIVO	t e~ p e s tS i v u
TEMPESTOSO	t e~ p e s t o z u
TEMPESTUAR	t e~ p e s t u a X
TEMPESTUOSIDADE	t e~ p e s t u o z i d a dZ i
TEMPESTUOSO	t e~ p e s t u o z u
TEMPLO	t e~ p l u
TEMPLÁRIO	t e~ p l a r i u
TEMPO	t e~ p u
TEMPORADA	t e~ p o r a d a
TEMPORAL	t e~ p o r a w
TEMPORALIDADE	t e~ p o r a l i d a dZ i
TEMPORALIZAR	t e~ p o r a l i z a X
TEMPORIZADOR	t e~ p o r i z a d o X
TEMPORIZAR	t e~ p o r i z a X
TEMPORÁRIO	t e~ p o r a r i u
TEMÁTICA	t e m a tS i k a
TEMÁTICO	t e m a tS i k u
TENACIDADE	t e n a s i d a dZ i
TENAZ	t e n a js
TENCIONAR	t e~ s i o n a X
TENDA	t e~ d a
TENDAL	t e~ d a w
TENDENCIAL	t e~ d e~ s i a w
TENDENCIOSIDADE	t e~ d e~ s i o z i d a dZ i
TENDENCIOSO	t e~ d e~ s i o z u
TENDENTE	t e~ d e~ tS i
TENDER	t e~ d e X
TENDINOSO	t e~ dZ i~ n o z u
TENDOLA	t e~ d O l a
TENDÃO	t e~ d a~ w~
TENDÊNCIA	t e~ d e~ s i a
TENEBROSIDADE	t e n e b r o z i d a dZ i
TENEBROSO	t e n e b r o z u
TENENTE	t e n e~ tS i
TENISTA	t e n i s t a
TENOR	t e n o X
TENRO	t e~ R u
TENRURA	t e~ R u r a
TENSA	t e~ s a
TENSIONAL	t e~ s i o n a w
TENSIVO	t e~ s i v u
TENSO	t e~ s u
TENSOR	t e~ s o X
TENSÃO	t e~ s a~ w~
TENSÍMETRO	t e~ s i m e t r u
TENTACULADOS	t e~ t a k u l a d u s
TENTACULAR	t e~ t a k u l a X
TENTADOR	t e~ t a d o X
TENTANTE	t e~ t a~ tS i
TENTAR	t e~ t a X
TENTATIVA	t e~ t a tS i v a
TENTATIVO	t e~ t a tS i v u
TENTAÇÃO	t e~ t a s a~ w~
TENTILHÃO	t e~ tS i L a~ w~
TENTO	t e~ t u
TENTÁCULO	t e~ t a k u l u
TENUEMENTE	t e n u e m e~ tS i
TENUIDADE	t e n u i d a dZ i
TENÇÃO	t e~ s a~ w~
TEOCRACIA	t e o k r a s i a
TEOCRATICISMO	t e o k r a tS i s i z m u
TEOCRATIZAR	t e o k r a tS i z a X
TEOFANIA	t e o f a n i a
TEOGONIA	t e o g o n i a
TEOLOGIA	t e o l o Z i a
TEOLOGISMO	t e o l o Z i z m u
TEOLOGIZAR	t e o l o Z i z a X
TEOLÓGICO	t e o l O Z i k u
TEOR	t e o X
TEOREMA	t e o r e~ m a
TEORETICISMO	t e o r e tS i s i z m u
TEORIA	t e o r i a
TEORISMO	t e o r i z m u
TEORIZAR	t e o r i z a X
TEORÉTICO	t e o r E tS i k u
TEPIDAMENTE	t e p i d a m e~ tS i
TER	t e X
TERAPEUTA	t e r a p e u t a
TERAPIA	t e r a p i a
TERAPÊUTICA	t e r a p e u tS i k a
TERAPÊUTICO	t e r a p e u tS i k u
TERATOLOGIA	t e r a t o l o Z i a
TERCEIRO	t e X s ej r u
TERCETO	t e X s e t u
TERCINA	t e X s i~ n a
TERCIÁRIO	t e X s i a r i u
TERES	t e r i s
TERFERÊNCIA	t e X f e r e~ s i a
TERGIVERSAR	t e R Z i v e X s a X
TERMAL	t e R m a w
TERMALIDADE	t e R m a l i d a dZ i
TERMALISMO	t e R m a l i z m u
TERMAS	t E R m a js
TERMIA	t e R m i a
TERMINAL	t e R m i~ n a w
TERMINANTE	t e R m i~ n a~ tS i
TERMINAR	t e R m i~ n a X
TERMINATIVO	t e R m i~ n a tS i v u
TERMINAÇÃO	t e R m i~ n a s a~ w~
TERMINOLOGIA	t e R m i~ n o l o Z i a
TERMISTOR	t e R m i s t o X
TERMITEIRA	t e R m i t ej r a
TERMITEIRO	t e R m i t ej r u
TERMIÃO	t e R m i a~ w~
TERMO	t e R m u
TERMOCAUTÉRIO	t e R m o k a u t E r i u
TERMODIELÉTRICO	t e R m o dZ i e l E t r i k u
TERMODINÂMICA	t e R m o dZ i~ n a~ m i k a
TERMODINÂMICO	t e R m o dZ i~ n a~ m i k u
TERMOELETRICIDADE	t e R m o e l e t r i s i d a dZ i
TERMOELÉTRICO	t e R m o e l E t r i k u
TERMOMÉTRICO	t e R m o m E t r i k u
TERMONUCLEAR	t e R m o n u k l e a X
TERMOPAR	t e R m o p a X
TERMOSTATO	t e R m o s t a t u
TERMÍTICO	t e R m i tS i k u
TERMÓSTATO	t e R m O s t a t u
TERMÔMETRO	t e R m o m e t r u
TERNADO	t e R n a d u
TERNO	t E R n u
TERNURA	t e R n u r a
TERNÁRIO	t e R n a r i u
TERRA	t E R a
TERRACOTA	t e R a k O t a
TERRAMOTO	t e R a m O t u
TERRAPLANAGEM	t e R a p l a n a Z e~j~
TERRAPLANAR	t e R a p l a n a X
TERRAÇO	t e R a s u
TERREIRO	t e R ej r u
TERREMOTO	t e R e m O t u
TERRENO	t e R e~ n u
TERRESTRE	t e R E s t r i
TERRIBILIDADE	t e R i b i l i d a dZ i
TERRIBILÍSSIMO	t e R i b i l i s i~ m u
TERRIFICANTE	t e R i f i k a~ tS i
TERRIFICAR	t e R i f i k a X
TERRINA	t e R i~ n a
TERRIOLA	t e R i O l a
TERRITORIAL	t e R i t o r i a w
TERRITORIALIDADE	t e R i t o r i a l i d a dZ i
TERRITÓRIO	t e R i t O r i u
TERROADA	t e R o a d a
TERROR	t e R o X
TERRORISTA	t e R o r i s t a
TERRORÍFICO	t e R o r i f i k u
TERROSO	t e R o z u
TERRÁQUEO	t e R a k e u
TERRÍFICO	t e R i f i k u
TERRÍVEL	t e R i v e w
TERTÚLIA	t e X t u l i a
TERÇA	t e X s a
TERÇAR	t e X s a X
TERÇO	t e X s u
TESAURO	t e z a u r u
TESE	t E z i
TESO	t e z u
TESOIRA	t e z o j r a
TESOIRADA	t e z o j r a d a
TESOIRAR	t e z o j r a X
TESOIRINHA	t e z o j r i~ J a
TESOIRO	t e z o j r u
TESOURA	t e z ow r a
TESOURADA	t e z ow r a d a
TESOURAR	t e z ow r a X
TESOURARIA	t e z ow r a r i a
TESOUREIRO	t e z ow r ej r u
TESOURINHA	t e z ow r i~ J a
TESOURO	t e z ow r u
TESTA	t E s t a
TESTADOR	t e s t a d o X
TESTAMENTAL	t e s t a m e~ t a w
TESTAMENTARIA	t e s t a m e~ t a r i a
TESTAMENTEIRO	t e s t a m e~ t ej r u
TESTAMENTÁRIO	t e s t a m e~ t a r i u
TESTANTE	t e s t a~ tS i
TESTAR	t e s t a X
TESTAÇA	t e s t a s a
TESTE	t E s tS i
TESTEMUNHA	t e s t e m u~ J a
TESTEMUNHADEIRA	t e s t e m u~ J a d ej r a
TESTEMUNHAL	t e s t e m u~ J a w
TESTEMUNHAR	t e s t e m u~ J a X
TESTEMUNHO	t e s t e m u~ J u
TESTICULAR	t e s tS i k u l a X
TESTICULOSO	t e s tS i k u l o z u
TESTIFICANTE	t e s tS i f i k a~ tS i
TESTIFICAR	t e s tS i f i k a X
TESTO	t E s t u
TESTOSTERONA	t e s t o s t e r o~ n a
TESTUDO	t e s t u d u
TESTÍCULO	t e s tS i k u l u
TESURA	t e z u r a
TESÃO	t e z a~ w~
TETA	t e t a
TETANIA	t e t a n i a
TETANIZAR	t e t a n i z a X
TETINA	t e tS i~ n a
TETO	t E t u
TETRADÁCTILO	t e t r a d a k tS i l u
TETRAEDRO	t e t r a E d r u
TETRARCA	t e t r a X k a
TETRARQUIA	t e t r a X k i a
TETRASSILÁBICO	t e t r a s i l a b i k u
TETRASSÍLABO	t e t r a s i l a b u
TETRATÔMICO	t e t r a t o m i k u
TETRAVALENTE	t e t r a v a l e~ tS i
TETRAVÓ	t e t r a v O
TETRAVÔ	t e t r a v o
TETRAÉDRICO	t e t r a E d r i k u
TETRICIDADE	t e t r i s i d a dZ i
TETRÂMERO	t e t r a~ m e r u
TETRÂMETRO	t e t r a~ m e t r u
TETUDO	t e t u d u
TETÂNICO	t e t a~ n i k u
TETÉ	t e t E
TEU	t e u
TEXANO	t e k s a~ n u
TEXTO	t e s t u
TEXTUAL	t e s t u a w
TEXTURA	t e s t u r a
TEXUGO	t e S u g u
TEZ	t e js
TEÁTRICO	t e a t r i k u
TEÍSMO	t e i z m u
TEÓRICA	t e O r i k a
TEÓRICO	t e O r i k u
TI	tS i
TIA	tS i a
TIBETANO	tS i b e t a~ n u
TIBIAL	tS i b i a w
TIFLITE	tS i f l i tS i
TIFO	tS i f u
TIFOIDE	tS i f O j dZ i
TIFOSO	tS i f o z u
TIGELA	tS i Z E l a
TIGELADA	tS i Z e l a d a
TIGRE	tS i g r i
TIGRINO	tS i g r i~ n u
TIGROIDE	tS i g r O j dZ i
TIJOLADA	tS i Z o l a d a
TIJOLARIA	tS i Z o l a r i a
