A	a
TETA	t e ' t a
TETANIA	t e t a n i ' a
TETANIZAR	t e t a n i z a ' r
TETINA	t e t i ' n a
TETO	t e ' t o
TETRADÁCTILO	t e t r a d á ' c t i l o
TETRAEDRO	t e t r a e ' d r o
TETRARCA	t e t r a ' r c a
TETRARQUIA	t e t r a r q u ' i a
TETRASSILÁBICO	t e t r a s s i l á ' b i c o
TETRASSÍLABO	t e t r a s s í ' l a b o
TETRATÔMICO	t e t r a t ô ' m i c o
TETRAVALENTE	t e t r a v a l e ' n t e
TETRAVÓ	t e t r a v ó '
TETRAVÔ	t e t r a v ô '
TETRAÉDRICO	t e t r a é ' d r i c o
TETRICIDADE	t e t r i c i d a ' d e
TETRÂMERO	t e t r â ' m e r o
TETRÂMETRO	t e t r â ' m e t r o
TETUDO	t e t u ' d o
TETÂNICO	t e t â ' n i c o
TETÉ	t e t é '
TEU	t e ' u
TEXANO	t e x a ' n o
TEXTO	t e ' x t o
TEXTUAL	t e x t u a ' l
TEXTURA	t e x t u ' r a
TEXUGO	t e x u ' g o
TEZ	t e ' z
TEÁTRICO	t e á ' t r i c o
TEÍSMO	t e í ' s m o
TEÓRICA	t e ó ' r i c a
TEÓRICO	t e ó ' r i c o
TI	t i
TIA	t i ' a
TIBETANO	t i b e t a ' n o
TIBIAL	t i b i a ' l
TIFLITE	t i f l i ' t e
TIFO	t i ' f o
TIFOIDE	t i f o ' i d e
TIFOSO	t i f o ' s o
TIGELA	t i g e ' l a
TIGELADA	t i g e l a ' d a
TIGRE	t i ' g r e
TIGRINO	t i g r i ' n o
TIGROIDE	t i g r o ' i d e
TIJOLADA	t i j o l a ' d a
TIJOLARIA	t i j o l a r i ' a
TIJOLEIRA	t i j o l e ' i r a
TIJOLEIRO	t i j o l e ' i r o
TIJOLO	t i j o ' l o
TIL	t i ' l
TILINTADA	t i l i n t a ' d a
TILINTANTE	t i l i n t a ' n t e
TILINTAR	t i l i n t a ' r
TIMBALE	t i m b a ' l e
TIMBRAR	t i m b r a ' r
TIMBRE	t i ' m b r e
TIMBROSO	t i m b r o ' s o
TIMIDAMENTE	t i m i d a m e ' n t e
TIMIDEZ	t i m i d e ' z
TIMO	t i ' m o
TIMONAR	t i m o n a ' r
TIMONEIRO	t i m o n e ' i r o
TIMORENSE	t i m o r e ' n s e
TINA	t i ' n a
TINGA	t i ' n g a
TINGIDURA	t i n g i d u ' r a
TINGIR	t i n g i ' r
TINHA	t i ' n h a
TINHOSO	t i n h o ' s o
TINIDO	t i n i ' d o
TINIR	t i n i ' r
TINO	t i ' n o
TINTA	t i ' n t a
TINTEIRO	t i n t e ' i r o
TINTIM	t i n t i ' m
TINTINANTE	t i n t i n a ' n t e
TINTINAR	t i n t i n a ' r
TINTO	t i ' n t o
TINTURA	t i n t u ' r a
TINTURARIA	t i n t u r a r i ' a
TINTUREIRA	t i n t u r e ' i r a
TINTUREIRO	t i n t u r e ' i r o
TIO	t i ' o
TIPA	t i ' p a
TIPICAMENTE	t i p i c a m e ' n t e
TIPIFICAR	t i p i f i c a ' r
TIPO	t i ' p o
TIPOGRAFIA	t i p o g r a f i ' a
TIPOGRÁFICO	t i p o g r á ' f i c o
TIPOLOGIA	t i p o l o g i ' a
TIQUE	t i ' q u e
TIQUETAQUE	t i q u e t a ' q u e
TIQUETAQUEAR	t i q u e t a q u e a ' r
TIRA	t i ' r a
TIRACOLO	t i r a c o ' l o
TIRADA	t i r a ' d a
TIRADOR	t i r a d o ' r
TIRADURA	t i r a d u ' r a
TIRAGEM	t i r a ' g e m
TIRANA	t i r a ' n a
TIRANIA	t i r a n i ' a
TIRANISMO	t i r a n i ' s m o
TIRANIZAR	t i r a n i z a ' r
TIRANO	t i r a ' n o
TIRANTE	t i r a ' n t e
TIRAR	t i r a ' r
TIRCENCE	t i r c e ' n c e
TIRITANTE	t i r i t a ' n t e
TIRITAR	t i r i t a ' r
TIRO	t i ' r o
TIROCÍNIO	t i r o c í ' n i o
TIROIDE	t i r o ' i d e
TIROLÊS	t i r o l ê ' s
TIROTEIO	t i r o t e ' i o
TIRÂNICO	t i r â ' n i c o
TIRÓIDEO	t i r ó ' i d e o
TISANA	t i s a ' n a
TISICAR	t i s i c a ' r
TITUBEANTE	t i t u b e a ' n t e
TITUBEAR	t i t u b e a ' r
TITULAR	t i t u l a ' r
TITÂNICO	t i t â ' n i c o
TITÂNIO	t i t â ' n i o
TITÃ	t i t ã '
TIÇÃO	t i ç ã ' o
TLIM	t l i ' m
TLINTAR	t l i n t a ' r
TLINTLIM	t l i n t l i ' m
TO	t o
TOA	t o ' a
TOADA	t o a ' d a
TOALHA	t o a ' l h a
TOALHEIRO	t o a l h e ' i r o
TOALHETE	t o a l h e ' t e
TOANTE	t o a ' n t e
TOAR	t o a ' r
TOCA	t o ' c a
TOCADELA	t o c a d e ' l a
TOCADOR	t o c a d o ' r
TOCADURA	t o c a d u ' r a
TOCANTE	t o c a ' n t e
TOCAR	t o c a ' r
TOCATA	t o c a ' t a
TOCHA	t o ' c h a
TOCO	t o ' c o
TODAVIA	t o d a v i ' a
TODO	t o ' d o
TOGA	t o ' g a
TOGAR	t o g a ' r
TOIRADA	t o i r a ' d a
TOIREAR	t o i r e a ' r
TOIREIO	t o i r e ' i o
TOIRO	t o ' i r o
TOIRÃO	t o i r ã ' o
TOLDA	t o ' l d a
TOLDAR	t o l d a ' r
TOLDE	t o ' l d e
TOLDO	t o ' l d o
TOLEIMA	t o l e ' i m a
TOLEIRÃO	t o l e i r ã ' o
TOLERADA	t o l e r a ' d a
TOLERADO	t o l e r a ' d o
TOLERANTE	t o l e r a ' n t e
TOLERANTISMO	t o l e r a n t i ' s m o
TOLERAR	t o l e r a ' r
TOLERÁVEL	t o l e r á ' v e l
TOLERÂNCIA	t o l e r â ' n c i a
TOLETA	t o l e ' t a
TOLHEDURA	t o l h e d u ' r a
TOLHER	t o l h e ' r
TOLICE	t o l i ' c e
TOLO	t o ' l o
TOLUENO	t o l u e ' n o
TOM	t o ' m
TOMA	t o ' m a
TOMADA	t o m a ' d a
TOMADOR	t o m a d o ' r
TOMADOS	t o m a ' d o s
TOMAR	t o m a ' r
TOMARENSE	t o m a r e ' n s e
TOMATADA	t o m a t a ' d a
TOMATAL	t o m a t a ' l
TOMATE	t o m a ' t e
TOMATEIRA	t o m a t e ' i r a
TOMATEIRO	t o m a t e ' i r o
TOMBADILHO	t o m b a d i ' l h o
TOMBAR	t o m b a ' r
TOMBO	t o ' m b o
TOMBOLAR	t o m b o l a ' r
TOMENSE	t o m e ' n s e
TOMILHO	t o m i ' l h o
TOMISTA	t o m i ' s t a
TOMO	t o ' m o
TOMOGRAFIA	t o m o g r a f i ' a
TONA	t o ' n a
TONAL	t o n a ' l
TONALIDADE	t o n a l i d a ' d e
TONALIZAR	t o n a l i z a ' r
TONAR	t o n a ' r
TONEL	t o n e ' l
TONELADA	t o n e l a ' d a
TONELAGEM	t o n e l a ' g e m
TONELARIA	t o n e l a r i ' a
TONICIDADE	t o n i c i d a ' d e
TONIFICANTE	t o n i f i c a ' n t e
TONIFICAR	t o n i f i c a ' r
TONSURA	t o n s u ' r a
TONSURADO	t o n s u r a ' d o
TONTARIA	t o n t a r i ' a
TONTEAR	t o n t e a ' r
TONTEIRA	t o n t e ' i r a
TONTO	t o ' n t o
TONTURA	t o n t u ' r a
TOPADA	t o p a ' d a
TOPAR	t o p a ' r
TOPO	t o ' p o
TOPOGRAFAR	t o p o g r a f a ' r
TOPOGRAFIA	t o p o g r a f i ' a
TOPOLOGIA	t o p o l o g i ' a
TOPOLÓGICO	t o p o l ó ' g i c o
TOPONÍMIA	t o p o n í ' m i a
TOPONÍMICO	t o p o n í ' m i c o
TOPÁZIO	t o p á ' z i o
TOPÔNIMO	t o p ô ' n i m o
TOQUE	t o ' q u e
TORA	t o ' r a
TORADA	t o r a ' d a
TORANJA	t o r a ' n j a
TORANJEIRA	t o r a n j e ' i r a
TORAR	t o r a ' r
TORCEDEIRA	t o r c e d e ' i r a
TORCEDELA	t o r c e d e ' l a
TORCEDOR	t o r c e d o ' r
TORCEDOURA	t o r c e d o ' u r a
TORCEDURA	t o r c e d u ' r a
TORCER	t o r c e ' r
TORCIDA	t o r c i ' d a
TORCIDOS	t o r c i ' d o s
TORDO	t o ' r d o
TORGA	t o ' r g a
TORMENTA	t o r m e ' n t a
TORMENTO	t o r m e ' n t o
TORMENTOSO	t o r m e n t o ' s o
TORMENTÓRIO	t o r m e n t ó ' r i o
TORNA	t o ' r n a
TORNADA	t o r n a ' d a
TORNADO	t o r n a ' d o
TORNAR	t o r n a ' r
TORNEADO	t o r n e a ' d o
TORNEAR	t o r n e a ' r
TORNEIO	t o r n e ' i o
TORNEIRA	t o r n e ' i r a
TORNIQUETE	t o r n i q u e ' t e
TORNO	t o ' r n o
TORNOZELO	t o r n o z e ' l o
TORO	t o ' r o
TORPE	t o ' r p e
TORPECER	t o r p e c e ' r
TORPEDAR	t o r p e d a ' r
TORPEDEIRO	t o r p e d e ' i r o
TORPEDO	t o r p e ' d o
TORPEDOS	t o r p e ' d o s
TORPEZA	t o r p e ' z a
TORPOR	t o r p o ' r
TORRADA	t o r r a ' d a
TORRADEIRA	t o r r a d e ' i r a
TORRALHÃO	t o r r a l h ã ' o
TORRAR	t o r r a ' r
TORRE	t o ' r r e
TORREAME	t o r r e a ' m e
TORREAR	t o r r e a ' r
TORREFAÇÃO	t o r r e f a ç ã ' o
TORREIRA	t o r r e ' i r a
TORRENCIAL	t o r r e n c i a ' l
TORRENTE	t o r r e ' n t e
TORRESMO	t o r r e ' s m o
TORREÃO	t o r r e ã ' o
TORRIENSE	t o r r i e ' n s e
TORRIFICAR	t o r r i f i c a ' r
TORRINHA	t o r r i ' n h a
TORRÃO	t o r r ã ' o
TORSO	t o ' r s o
TORTA	t o ' r t a
TORTILHA	t o r t i ' l h a
TORTO	t o ' r t o
TORTUOSIDADE	t o r t u o s i d a ' d e
TORTUOSO	t o r t u o ' s o
TORTURA	t o r t u ' r a
TORTURANTE	t o r t u r a ' n t e
TORTURAR	t o r t u r a ' r
TORVAR	t o r v a ' r
TORVELINHO	t o r v e l i ' n h o
TORÁCICO	t o r á ' c i c o
TORÇÃO	t o r ç ã ' o
TOSCANO	t o s c a ' n o
TOSCO	t o ' s c o
TOSQUIA	t o s q u ' i a
TOSQUIADEIRA	t o s q u i a d e ' i r a
TOSQUIADELA	t o s q u i a d e ' l a
TOSQUIADOR	t o s q u i a d o ' r
TOSQUIADURA	t o s q u i a d u ' r a
TOSQUIAR	t o s q u i a ' r
TOSSE	t o ' s s e
TOSSEZINHA	t o s s e z i ' n h a
TOSSICAR	t o s s i c a ' r
TOSSIDELA	t o s s i d e ' l a
TOSSIDO	t o s s i ' d o
TOSSIQUENTO	t o s s i q u e ' n t o
TOSSIR	t o s s i ' r
TOSTA	t o ' s t a
TOSTADEIRA	t o s t a d e ' i r a
TOSTADELA	t o s t a d e ' l a
TOSTADURA	t o s t a d u ' r a
TOSTAR	t o s t a ' r
TOSTE	t o ' s t e
TOSTÃO	t o s t ã ' o
TOTAL	t o t a ' l
TOTALIDADE	t o t a l i d a ' d e
TOTALISTA	t o t a l i ' s t a
TOTALITARISMO	t o t a l i t a r i ' s m o
TOTALITÁRIO	t o t a l i t á ' r i o
TOTALIZADOR	t o t a l i z a d o ' r
TOTALIZAR	t o t a l i z a ' r
TOTEM	t o ' t e m
TOTOBOLA	t o t o b o ' l a
TOTOLOTO	t o t o l o ' t o
TOTÉMICO	t o t é ' m i c o
TOUCA	t o ' u c a
TOUCADO	t o u c a ' d o
TOUCADOR	t o u c a d o ' r
TOUCAR	t o u c a ' r
TOUCINHO	t o u c i ' n h o
TOUPEIRA	t o u p e ' i r a
TOURA	t o ' u r a
TOURADA	t o u r a ' d a
TOUREADOR	t o u r e a d o ' r
TOUREAR	t o u r e a ' r
TOUREIO	t o u r e ' i o
TOUREIRO	t o u r e ' i r o
TOURINHA	t o u r i ' n h a
TOURO	t o ' u r o
TOUTIÇO	t o u t i ' ç o
TOXICIDADE	t o x i c i d a ' d e
TOXICODEPENDENTE	t o x i c o d e p e n d e ' n t e
TOXICODEPENDÊNCIA	t o x i c o d e p e n d ê ' n c i a
TOXICOLOGIA	t o x i c o l o g i ' a
TOXICOMANIA	t o x i c o m a n i ' a
TOXICOSE	t o x i c o ' s e
TOXIDADE	t o x i d a ' d e
TOXINA	t o x i ' n a
TRABALHADEIRA	t r a b a l h a d e ' i r a
TRABALHADOR	t r a b a l h a d o ' r
TRABALHAR	t r a b a l h a ' r
TRABALHEIRA	t r a b a l h e ' i r a
TRABALHISMO	t r a b a l h i ' s m o
TRABALHISTA	t r a b a l h i ' s t a
TRABALHO	t r a b a ' l h o
TRABALHOSO	t r a b a l h o ' s o
TRABALHÃO	t r a b a l h ã ' o
TRACEJAR	t r a c e j a ' r
TRADICIONAL	t r a d i c i o n a ' l
TRADICIONALIDADE	t r a d i c i o n a l i d a ' d e
TRADICIONALISMO	t r a d i c i o n a l i ' s m o
TRADICIONALISTA	t r a d i c i o n a l i ' s t a
TRADIÇÃO	t r a d i ç ã ' o
TRADUTOR	t r a d u t o ' r
TRADUZIR	t r a d u z i ' r
TRADUÇÃO	t r a d u ç ã ' o
TRAFICANTE	t r a f i c a ' n t e
TRAFICAR	t r a f i c a ' r
TRAFICÂNCIA	t r a f i c â ' n c i a
TRAFULHA	t r a f u ' l h a
TRAFULHICE	t r a f u l h i ' c e
TRAGADA	t r a g a ' d a
TRAGAR	t r a g a ' r
TRAGICOMÉDIA	t r a g i c o m é ' d i a
TRAGICÔMICO	t r a g i c ô ' m i c o
TRAGO	t r a ' g o
TRAGÉDIA	t r a g é ' d i a
TRAIDOR	t r a i d o ' r
TRAINEIRA	t r a i n e ' i r a
TRAIR	t r a i ' r
TRAIÇOEIRO	t r a i ç o e ' i r o
TRAJAR	t r a j a ' r
TRAJE	t r a ' j e
TRAJETO	t r a j e ' t o
TRAJETOR	t r a j e t o ' r
TRAJETÓRIA	t r a j e t ó ' r i a
TRAJO	t r a ' j o
TRALHAR	t r a l h a ' r
TRAMA	t r a ' m a
TRAMAR	t r a m a ' r
TRAMBOLHADA	t r a m b o l h a ' d a
TRAMBOLHAR	t r a m b o l h a ' r
TRAMBOLHO	t r a m b o ' l h o
TRAMBOLHÃO	t r a m b o l h ã ' o
TRAMELA	t r a m e ' l a
TRAMITAÇÃO	t r a m i t a ç ã ' o
TRAMOIA	t r a m o ' i a
TRAMPA	t r a ' m p a
TRAMPOLIM	t r a m p o l i ' m
TRAMPOSO	t r a m p o ' s o
TRANCA	t r a ' n c a
TRANCADA	t r a n c a ' d a
TRANCAR	t r a n c a ' r
TRANQUETA	t r a n q u e ' t a
TRANQUILIDADE	t r a n q u i l i d a ' d e
TRANQUILIZADOR	t r a n q u i l i z a d o ' r
TRANQUILIZANTE	t r a n q u i l i z a ' n t e
TRANQUILIZAR	t r a n q u i l i z a ' r
TRANQUILO	t r a n q u i ' l o
TRANSACIONAL	t r a n s a c i o n a ' l
TRANSACIONAR	t r a n s a c i o n a ' r
TRANSALPINO	t r a n s a l p i ' n o
TRANSATLÂNTICO	t r a n s a t l â ' n t i c o
TRANSATO	t r a n s a ' t o
TRANSATOR	t r a n s a t o ' r
TRANSAÇÃO	t r a n s a ç ã ' o
TRANSBORDANTE	t r a n s b o r d a ' n t e
TRANSBORDAR	t r a n s b o r d a ' r
TRANSBORDO	t r a n s b o ' r d o
TRANSCENDENTAL	t r a n s c e n d e n t a ' l
TRANSCENDENTALIDADE	t r a n s c e n d e n t a l i d a ' d e
TRANSCENDENTALIZAR	t r a n s c e n d e n t a l i z a ' r
TRANSCENDENTE	t r a n s c e n d e ' n t e
TRANSCENDER	t r a n s c e n d e ' r
TRANSCENDÊNCIA	t r a n s c e n d ê ' n c i a
TRANSCETOR	t r a n s c e t o ' r
TRANSCONTINENTAL	t r a n s c o n t i n e n t a ' l
TRANSCREVER	t r a n s c r e v e ' r
TRANSCRITO	t r a n s c r i ' t o
TRANSCRITOR	t r a n s c r i t o ' r
TRANSCRIÇÃO	t r a n s c r i ç ã ' o
TRANSDUTOR	t r a n s d u t o ' r
TRANSE	t r a ' n s e
TRANSEUNTE	t r a n s e u ' n t e
TRANSFERIDOR	t r a n s f e r i d o ' r
TRANSFERIR	t r a n s f e r i ' r
TRANSFERÊNCIA	t r a n s f e r ê ' n c i a
TRANSFIGURADOR	t r a n s f i g u r a d o ' r
TRANSFIGURAR	t r a n s f i g u r a ' r
TRANSFORMACIONAL	t r a n s f o r m a c i o n a ' l
TRANSFORMADA	t r a n s f o r m a ' d a
TRANSFORMADOR	t r a n s f o r m a d o ' r
TRANSFORMANTE	t r a n s f o r m a ' n t e
TRANSFORMAR	t r a n s f o r m a ' r
TRANSFORMATIVO	t r a n s f o r m a t i ' v o
TRANSFORMAÇÃO	t r a n s f o r m a ç ã ' o
TRANSFORME	t r a n s f o ' r m e
TRANSFORMISMO	t r a n s f o r m i ' s m o
TRANSFORMISTA	t r a n s f o r m i ' s t a
TRANSFRONTEIRAS	t r a n s f r o n t e ' i r a s
TRANSFRONTEIRIÇO	t r a n s f r o n t e i r i ' ç o
TRANSFUSÃO	t r a n s f u s ã ' o
TRANSGREDIR	t r a n s g r e d i ' r
TRANSGRESSIVO	t r a n s g r e s s i ' v o
TRANSGRESSOR	t r a n s g r e s s o ' r
TRANSGRESSÃO	t r a n s g r e s s ã ' o
TRANSGÉNICO	t r a n s g é ' n i c o
TRANSIBERIANO	t r a n s i b e r i a ' n o
TRANSIGENTE	t r a n s i g e ' n t e
TRANSIGIR	t r a n s i g i ' r
TRANSIGÊNCIA	t r a n s i g ê ' n c i a
TRANSITABILIDADE	t r a n s i t a b i l i d a ' d e
TRANSITAR	t r a n s i t a ' r
TRANSITIVAR	t r a n s i t i v a ' r
TRANSITIVO	t r a n s i t i ' v o
TRANSITORIEDADE	t r a n s i t o r i e d a ' d e
TRANSITÁRIO	t r a n s i t á ' r i o
TRANSITÓRIO	t r a n s i t ó ' r i o
TRANSIÇÃO	t r a n s i ç ã ' o
TRANSJORDANO	t r a n s j o r d a ' n o
TRANSJORDÂNICO	t r a n s j o r d â ' n i c o
TRANSLADAR	t r a n s l a d a ' r
TRANSLAÇÃO	t r a n s l a ç ã ' o
TRANSLINEAR	t r a n s l i n e a ' r
TRANSLUCIDAR	t r a n s l u c i d a ' r
TRANSLÚCIDO	t r a n s l ú ' c i d o
TRANSMISSIBILIDADE	t r a n s m i s s i b i l i d a ' d e
TRANSMISSIVO	t r a n s m i s s i ' v o
TRANSMISSOR	t r a n s m i s s o ' r
TRANSMISSÃO	t r a n s m i s s ã ' o
TRANSMISSÍVEL	t r a n s m i s s í ' v e l
TRANSMISSÓRIO	t r a n s m i s s ó ' r i o
TRANSMITIR	t r a n s m i t i ' r
TRANSMONTANO	t r a n s m o n t a ' n o
TRANSMUDAR	t r a n s m u d a ' r
TRANSMUTABILIDADE	t r a n s m u t a b i l i d a ' d e
TRANSMUTADOR	t r a n s m u t a d o ' r
TRANSMUTAR	t r a n s m u t a ' r
TRANSMUTATIVO	t r a n s m u t a t i ' v o
TRANSNAVEGAR	t r a n s n a v e g a ' r
TRANSOCEÂNICO	t r a n s o c e â ' n i c o
TRANSPARECER	t r a n s p a r e c e ' r
TRANSPARENTAR	t r a n s p a r e n t a ' r
TRANSPARENTE	t r a n s p a r e ' n t e
TRANSPARÊNCIA	t r a n s p a r ê ' n c i a
TRANSPIRAR	t r a n s p i r a ' r
TRANSPIRATÓRIO	t r a n s p i r a t ó ' r i o
TRANSPLANTADOR	t r a n s p l a n t a d o ' r
TRANSPLANTAR	t r a n s p l a n t a ' r
TRANSPLANTATÓRIO	t r a n s p l a n t a t ó ' r i o
TRANSPLANTAÇÃO	t r a n s p l a n t a ç ã ' o
TRANSPLANTE	t r a n s p l a ' n t e
TRANSPONÍVEL	t r a n s p o n í ' v e l
TRANSPOR	t r a n s p o ' r
TRANSPORTADOR	t r a n s p o r t a d o ' r
TRANSPORTAR	t r a n s p o r t a ' r
TRANSPORTE	t r a n s p o ' r t e
TRANSPOSITIVO	t r a n s p o s i t i ' v o
TRANSPOSITOR	t r a n s p o s i t o ' r
TRANSPOSIÇÃO	t r a n s p o s i ç ã ' o
TRANSPOSTO	t r a n s p o ' s t o
TRANSTORNAR	t r a n s t o r n a ' r
TRANSTORNO	t r a n s t o ' r n o
TRANSUBSTANCIAL	t r a n s u b s t a n c i a ' l
TRANSUBSTANCIAR	t r a n s u b s t a n c i a ' r
TRANSUDAÇÃO	t r a n s u d a ç ã ' o
TRANSUMANO	t r a n s u m a ' n o
TRANSURANIANO	t r a n s u r a n i a ' n o
TRANSVERSAL	t r a n s v e r s a ' l
TRANSVERSALIDADE	t r a n s v e r s a l i d a ' d e
TRANSVERSO	t r a n s v e ' r s o
TRANSVERSÃO	t r a n s v e r s ã ' o
TRANSVIAR	t r a n s v i a ' r
TRANSVIO	t r a n s v i ' o
TRANSÍSTOR	t r a n s í ' s t o r
TRANÇA	t r a ' n ç a
TRANÇADEIRA	t r a n ç a d e ' i r a
TRANÇAR	t r a n ç a ' r
TRAPACEAR	t r a p a c e a ' r
TRAPACEIRO	t r a p a c e ' i r o
TRAPACENTO	t r a p a c e ' n t o
TRAPACICE	t r a p a c i ' c e
TRAPALHADA	t r a p a l h a ' d a
TRAPALHICE	t r a p a l h i ' c e
TRAPALHÃO	t r a p a l h ã ' o
TRAPAÇA	t r a p a ' ç a
TRAPAÇARIA	t r a p a ç a r i ' a
TRAPEIRO	t r a p e ' i r o
TRAPEZISTA	t r a p e z i ' s t a
TRAPEZOIDAL	t r a p e z o i d a ' l
TRAPEZOIDE	t r a p e z o ' i d e
TRAPEZOÉDRICO	t r a p e z o é ' d r i c o
TRAPISTA	t r a p i ' s t a
TRAPO	t r a ' p o
TRAPÉZIO	t r a p é ' z i o
TRAQUEADO	t r a q u e a ' d o
TRAQUEADOS	t r a q u e a ' d o s
TRAQUEAL	t r a q u e a ' l
TRAQUEIA	t r a q u e ' i a
TRAQUEJO	t r a q u e ' j o
TRAQUETE	t r a q u e ' t e
TRAQUINA	t r a q u i ' n a
TRAQUINADA	t r a q u i n a ' d a
TRAQUINAR	t r a q u i n a ' r
TRAQUINAS	t r a q u i ' n a s
TRAQUINICE	t r a q u i n i ' c e
TRASEIRA	t r a s e ' i r a
TRASEIRO	t r a s e ' i r o
TRASLADAR	t r a s l a d a ' r
TRASMONTANISMO	t r a s m o n t a n i ' s m o
TRASMONTANO	t r a s m o n t a ' n o
TRASMONTAR	t r a s m o n t a ' r
TRASTARIA	t r a s t a r i ' a
TRASTE	t r a ' s t e
TRATADEIRA	t r a t a d e ' i r a
TRATADO	t r a t a ' d o
TRATADOR	t r a t a d o ' r
TRATANTE	t r a t a ' n t e
TRATANTEAR	t r a t a n t e a ' r
TRATANTICE	t r a t a n t i ' c e
TRATAR	t r a t a ' r
TRATO	t r a ' t o
TRATOR	t r a t o ' r
TRATORISTA	t r a t o r i ' s t a
TRATOS	t r a ' t o s
TRAULITADA	t r a u l i t a ' d a
TRAULITEIRO	t r a u l i t e ' i r o
TRAULITO	t r a u l i ' t o
TRAUMA	t r a ' u m a
TRAUMATISMO	t r a u m a t i ' s m o
TRAUMATIZAR	t r a u m a t i z a ' r
TRAUMATOLOGIA	t r a u m a t o l o g i ' a
TRAUMÁTICO	t r a u m á ' t i c o
TRAUTEAR	t r a u t e a ' r
TRAVA	t r a ' v a
TRAVADA	t r a v a ' d a
TRAVADOR	t r a v a d o ' r
TRAVADOURO	t r a v a d o ' u r o
TRAVADURA	t r a v a d u ' r a
TRAVAGEM	t r a v a ' g e m
TRAVAR	t r a v a ' r
TRAVE	t r a ' v e
TRAVEJAR	t r a v e j a ' r
TRAVESSA	t r a v e ' s s a
TRAVESSAR	t r a v e s s a ' r
TRAVESSEIRA	t r a v e s s e ' i r a
TRAVESSEIRO	t r a v e s s e ' i r o
TRAVESSIA	t r a v e s s i ' a
TRAVESSO	t r a v e ' s s o
TRAVESSURA	t r a v e s s u ' r a
TRAVESSÃO	t r a v e s s ã ' o
TRAVESTI	t r a v e s t i '
TRAVESTISMO	t r a v e s t i ' s m o
TRAVO	t r a ' v o
TRAVOR	t r a v o ' r
TRAVOSO	t r a v o ' s o
TRAVÃO	t r a v ã ' o
TRAVÉS	t r a v é ' s
TRAZEDEIRO	t r a z e d e ' i r o
TRAZEDOR	t r a z e d o ' r
TRAZER	t r a z e ' r
TRAZIDA	t r a z i ' d a
TRAÇA	t r a ' ç a
TRAÇADO	t r a ç a ' d o
TRAÇAR	t r a ç a ' r
TRAÇO	t r a ' ç o
TRAÇÃO	t r a ç ã ' o
TRECHO	t r e ' c h o
TREINADOR	t r e i n a d o ' r
TREINAR	t r e i n a ' r
TREINO	t r e ' i n o
TREJEITO	t r e j e ' i t o
TRELA	t r e ' l a
TREM	t r e m
TREMA	t r e ' m a
TREMAR	t r e m a ' r
TREMEDOIRO	t r e m e d o ' i r o
TREMEDOURO	t r e m e d o ' u r o
TREMEDURA	t r e m e d u ' r a
TREMELICA	t r e m e l i ' c a
TREMELICAR	t r e m e l i c a ' r
TREMELICAS	t r e m e l i ' c a s
TREMELIQUE	t r e m e l i ' q u e
TREMELIQUENTO	t r e m e l i q u e ' n t o
TREMENDA	t r e m e ' n d a
TREMENDO	t r e m e ' n d o
TREMENS	t r e ' m e n s
TREMER	t r e m e ' r
TREMOR	t r e m o ' r
TREMOÇADA	t r e m o ç a ' d a
TREMOÇAL	t r e m o ç a ' l
TREMOÇO	t r e m o ' ç o
TREMULANTE	t r e m u l a ' n t e
TREMULAR	t r e m u l a ' r
TREMULOSO	t r e m u l o ' s o
TREMURA	t r e m u ' r a
TRENÓ	t r e n ó '
TREPA	t r e ' p a
TREPADA	t r e p a ' d a
TREPADEIRA	t r e p a d e ' i r a
TREPADOIRO	t r e p a d o ' i r o
TREPADOR	t r e p a d o ' r
TREPADOURO	t r e p a d o ' u r o
TREPANTE	t r e p a ' n t e
TREPAR	t r e p a ' r
TREPIDANTE	t r e p i d a ' n t e
TREPIDAR	t r e p i d a ' r
TREPLICAR	t r e p l i c a ' r
TRESANDAR	t r e s a n d a ' r
TRESLOUCAR	t r e s l o u c a ' r
TRESMALHAR	t r e s m a l h a ' r
TRESMALHO	t r e s m a ' l h o
TRESNOITAR	t r e s n o i t a ' r
TRESPASSAR	t r e s p a s s a ' r
TRESPASSE	t r e s p a ' s s e
TRESPOR	t r e s p o ' r
TRETA	t r e ' t a
TRETAS	t r e ' t a s
TRETEIRO	t r e t e ' i r o
TREVA	t r e ' v a
TREVAS	t r e ' v a s
TREVO	t r e ' v o
TREZE	t r e ' z e
TREZENTOS	t r e z e ' n t o s
TREZÉNIO	t r e z é ' n i o
TRIAGEM	t r i a ' g e m
TRIANGULAR	t r i a n g u l a ' r
TRIANGULARIDADE	t r i a n g u l a r i d a ' d e
TRIATÔMICO	t r i a t ô ' m i c o
TRIBAL	t r i b a ' l
TRIBALISMO	t r i b a l i ' s m o
TRIBO	t r i ' b o
TRIBULAÇÃO	t r i b u l a ç ã ' o
TRIBUNA	t r i b u ' n a
TRIBUNAL	t r i b u n a ' l
TRIBUNO	t r i b u ' n o
TRIBUTAR	t r i b u t a ' r
TRIBUTO	t r i b u ' t o
TRIBUTÁRIO	t r i b u t á ' r i o
TRICENTENÁRIO	t r i c e n t e n á ' r i o
TRICENTÉSIMO	t r i c e n t é ' s i m o
TRICICLO	t r i c i ' c l o
TRICOLOR	t r i c o l o ' r
TRICOTAR	t r i c o t a ' r
TRICOTOMIA	t r i c o t o m i ' a
TRICÓRNIO	t r i c ó ' r n i o
TRICÔ	t r i c ô '
